timestamp,pnl,cash,posA,posB
1782940837.167171,5543.001999999981,5543.001999999981,0,0
1782940842.1672459,5543.001999999981,5543.001999999981,0,0
1782940847.1673348,5543.001999999981,5543.001999999981,0,0
1782940852.1673546,5544.50199999998,5543.901999999981,3,-3
1782940857.1674566,5543.301999999981,5543.301999999981,0,0
1782940862.1674767,5543.301999999981,5543.301999999981,0,0
1782940867.1675694,5543.301999999981,5543.301999999981,0,0
1782940872.1676562,5543.301999999981,5543.301999999981,0,0
1782940877.1677132,5543.301999999981,5543.301999999981,0,0
1782940882.1677697,5543.301999999981,5543.301999999981,0,0
1782940887.1678329,5543.301999999981,5543.301999999981,0,0
1782940892.1678734,5543.301999999981,5543.301999999981,0,0
1782940897.1679351,5543.301999999981,5543.301999999981,0,0
1782940902.1680148,5543.301999999981,5543.301999999981,0,0
1782940907.1680398,5542.401999999982,5564.601999999982,37,-37
1782940912.1680753,5561.701999999983,5559.101999999983,26,-26
1782940917.1680796,5554.301999999982,5554.3019999999815,14,-14
1782940922.1681018,5550.701999999982,5551.001999999982,3,-3
1782940927.1681123,5551.701999999982,5552.201999999982,-5,5
1782940932.16812,5551.101999999981,5558.901999999981,-26,26
1782940937.1681442,5545.901999999981,5558.901999999981,-26,26
1782940942.1681988,5557.70199999998,5560.50199999998,-28,28
1782940947.1682122,5562.401999999979,5572.201999999979,-49,49
1782940952.168227,5563.701999999979,5567.401999999979,-37,37
1782940957.1682372,5567.401999999979,5567.701999999979,-3,3
1782940962.1682963,5566.80199999998,5567.701999999979,-3,3
1782940967.1683106,5569.5019999999795,5569.5019999999795,0,0
1782940972.1683657,5569.5019999999795,5569.5019999999795,0,0
1782940977.1684544,5571.5019999999795,5581.901999999979,26,-26
1782940982.1685405,5564.501999999979,5577.101999999979,14,-14
1782940987.1685617,5568.701999999979,5577.101999999979,14,-14
1782940992.168613,5572.901999999978,5573.801999999979,3,-3
1782940997.1686544,5573.501999999979,5573.801999999979,3,-3
1782941002.1687052,5573.201999999978,5573.201999999978,0,0
1782941007.1687424,5573.201999999978,5573.201999999978,0,0
1782941012.1687956,5577.401999999977,5577.401999999977,0,0
